ApiRequestVO(id=60, productVO=ProductVO(id=60, name=user50, price=30000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
ApiRequestVO(id=59, productVO=ProductVO(id=59, name=user59, price=29000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
ApiRequestVO(id=58, productVO=ProductVO(id=58, name=user58, price=28000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
ApiRequestVO(id=57, productVO=ProductVO(id=57, name=user57, price=27000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
ApiRequestVO(id=56, productVO=ProductVO(id=56, name=user56, price=26000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
ApiRequestVO(id=55, productVO=ProductVO(id=55, name=user55, price=25000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
ApiRequestVO(id=54, productVO=ProductVO(id=54, name=user54, price=24000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
ApiRequestVO(id=53, productVO=ProductVO(id=53, name=user53, price=23000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
ApiRequestVO(id=52, productVO=ProductVO(id=52, name=user52, price=22000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
ApiRequestVO(id=51, productVO=ProductVO(id=51, name=user51, price=21000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
ApiRequestVO(id=30, productVO=ProductVO(id=30, name=user30, price=30000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
ApiRequestVO(id=29, productVO=ProductVO(id=29, name=user29, price=29000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
ApiRequestVO(id=28, productVO=ProductVO(id=28, name=user28, price=28000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
ApiRequestVO(id=27, productVO=ProductVO(id=27, name=user27, price=27000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
ApiRequestVO(id=26, productVO=ProductVO(id=26, name=user26, price=26000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
ApiRequestVO(id=25, productVO=ProductVO(id=25, name=user25, price=25000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
ApiRequestVO(id=24, productVO=ProductVO(id=24, name=user24, price=24000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
ApiRequestVO(id=23, productVO=ProductVO(id=23, name=user23, price=23000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
ApiRequestVO(id=22, productVO=ProductVO(id=22, name=user22, price=22000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
ApiRequestVO(id=21, productVO=ProductVO(id=21, name=user21, price=21000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
ApiRequestVO(id=60, productVO=ProductVO(id=60, name=user50, price=30000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
ApiRequestVO(id=59, productVO=ProductVO(id=59, name=user59, price=29000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
ApiRequestVO(id=58, productVO=ProductVO(id=58, name=user58, price=28000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
ApiRequestVO(id=57, productVO=ProductVO(id=57, name=user57, price=27000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
ApiRequestVO(id=56, productVO=ProductVO(id=56, name=user56, price=26000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
ApiRequestVO(id=55, productVO=ProductVO(id=55, name=user55, price=25000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
ApiRequestVO(id=54, productVO=ProductVO(id=54, name=user54, price=24000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
ApiRequestVO(id=53, productVO=ProductVO(id=53, name=user53, price=23000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
ApiRequestVO(id=52, productVO=ProductVO(id=52, name=user52, price=22000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
ApiRequestVO(id=51, productVO=ProductVO(id=51, name=user51, price=21000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
ApiRequestVO(id=30, productVO=ProductVO(id=30, name=user30, price=30000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
ApiRequestVO(id=29, productVO=ProductVO(id=29, name=user29, price=29000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
ApiRequestVO(id=28, productVO=ProductVO(id=28, name=user28, price=28000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
ApiRequestVO(id=27, productVO=ProductVO(id=27, name=user27, price=27000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
ApiRequestVO(id=26, productVO=ProductVO(id=26, name=user26, price=26000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
ApiRequestVO(id=25, productVO=ProductVO(id=25, name=user25, price=25000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
ApiRequestVO(id=24, productVO=ProductVO(id=24, name=user24, price=24000, type=3), apiResponseVO=ApiResponseVO(status=200, msg=product3 was successfully processed!))
